pais,año,indice_democracia,crecimiento,indice_gini,agua_potable,mujeres_fuerza_laboral,liberalizacion_economica
Nicaragua,2014,1.19,5,38.09,66.10630553,51.31,0
Nicaragua,2015,7.24,-3.88,34.21,91.12387004,45.84,1
Nicaragua,2016,9.72,-1.3,34.11,95.43939164,41.89,1
Nicaragua,2017,0.85,-5.3,36,61.00359331,30.46,0
Nicaragua,2018,6.15,4.68,31.99,80.55543735,51.17,0
Nicaragua,2019,8.32,-8.82,49.11,92.80120639,30.57,1
Nicaragua,2020,5.72,5.07,46.41,84.34381069,55.88,1
El Salvador,1990,9.55,-3.07,45.2,100,43.67,1
El Salvador,1991,9.64,-2.88,47.33,98.78409728,52.1,1
El Salvador,1992,2,7.93,54.85,71.24118295,32.01,0
El Salvador,1993,9.69,-2.66,36.97,96.07630661,59.44,1
El Salvador,1994,2.77,9.07,59.37,67.66645478,40.26,0
El Salvador,1995,3.12,5.85,52.1,72.3663369,56.64,0
El Salvador,1996,0.07,8.23,52.6,61.00885306,55.94,0
El Salvador,1997,4.66,-3.11,33.42,78.59057841,54.96,0
El Salvador,1998,6.5,0.52,43.27,81.90323014,57.16,0
El Salvador,1999,8.99,9.37,55.57,95.84984417,54.26,1
El Salvador,2000,4.03,-9.91,50.71,73.51944615,49.41,0
El Salvador,2001,3.22,6.35,41.45,74.21798101,41.52,0
El Salvador,2002,3.66,-1.73,34.33,75.37712829,43.8,0
El Salvador,2003,6.9,0.6,34.1,85.76316921,46.58,1
El Salvador,2004,0.54,7.1,54.94,61.0986453,32.51,0
El Salvador,2005,9.48,-4.93,46.17,95.8755549,38.6,1
El Salvador,2006,3.31,4.83,56.63,73.11436096,41.9,0
El Salvador,2007,8.75,5.41,41.64,96.97548023,51.04,1
El Salvador,2008,0.38,2.83,50.34,60,46.19,0
El Salvador,2009,4.6,6.89,31.68,79.42333877,32.25,1
El Salvador,2010,0.65,7.29,41.58,61.50718787,51.26,0
El Salvador,2011,3.32,6.56,48.02,71.69409385,46.24,0
El Salvador,2012,8.43,3.56,39.87,93.56728331,58.33,1
El Salvador,2013,3.56,9.19,45.98,72.17224354,32.72,0
El Salvador,2014,0.68,4.58,34.42,61.58076558,32.66,0
El Salvador,2015,6.89,-6.45,48.35,85.20705264,34.93,1
El Salvador,2016,5.47,1.37,58.74,85.83516742,42.64,1
El Salvador,2017,6.43,-7.08,51.46,85.82779892,34.54,1
El Salvador,2018,7.48,-3.22,41.01,88.57045871,46.1,1
El Salvador,2019,3.78,-2.32,47.3,75.55333595,43.16,0
El Salvador,2020,6.69,-3.06,30.86,86.5757451,37.1,1
Costa Rica,1990,7.72,7.47,33.5,90.4908592,59.26,1
Costa Rica,1991,9.04,9.5,58.78,97.45701946,52.83,1
Costa Rica,1992,8.13,-1.31,44.19,94.09274862,43.05,1
Costa Rica,1993,9.33,1.64,30.42,96.33117423,59.53,1
Costa Rica,1994,4.32,8.89,55.08,76.14023915,50.27,0
Costa Rica,1995,0.16,0.63,31.58,60.05170202,44.76,0
Costa Rica,1996,7.38,8.46,55.81,84.96486379,56.96,1
Costa Rica,1997,8.75,3.88,39.32,92.03481346,38.54,1
Costa Rica,1998,6.32,2.01,51.05,88.04969638,53.14,1
Costa Rica,1999,6.58,7.3,38.08,89.64901266,51.7,1
Costa Rica,2000,4.47,3.37,47.74,77.39560896,39.96,0
Costa Rica,2001,7.31,-4.82,50.13,90.44097752,48.43,1
Costa Rica,2002,4.18,0.31,41.21,77.35269088,33.79,0
Costa Rica,2003,2.56,-7.54,36.73,76.38845369,34.58,1
Costa Rica,2004,7.78,4.87,56.68,93.41267038,44.32,1
Costa Rica,2005,1.1,4.29,46.57,64.11728418,50.57,0
Costa Rica,2006,5.45,8.57,33.3,79.91439555,54.58,0
Costa Rica,2007,9.4,7.48,43.06,94.46012642,35.86,1
Costa Rica,2008,4.65,8.15,33.25,79.02277481,56.87,0
Costa Rica,2009,0.45,-8.75,42.2,60.2525944,35.49,0
Costa Rica,2010,1.23,4.28,59.13,62.05017663,48.9,0
Costa Rica,2011,5.23,-9.85,53.08,79.64968272,56.92,0
Costa Rica,2012,7.14,9.89,38.36,86.44272145,59.02,1
Costa Rica,2013,0.06,-2.48,43.23,63.57488508,31.83,0
Costa Rica,2014,1.46,-1.49,50.02,67.58073187,36.86,0
Costa Rica,2015,8.86,-9.7,58.89,95.49057428,49.64,1
Costa Rica,2016,4.3,6.47,30.21,80.17152318,46.94,1
Costa Rica,2017,0.47,6.27,35.41,62.00027323,35.91,0
Costa Rica,2018,9.5,7.42,59.63,96.35165427,44.93,1
Costa Rica,2019,1.83,8.57,48.27,70.34815387,51.81,0
Costa Rica,2020,2.53,-2.82,38.76,71.18815108,41.3,0
Panama,1990,7.14,-2.52,52.34,86.53132514,51.4,1
Panama,1991,3.94,4.41,37.97,75.38662455,56.37,0
Panama,1992,9.85,5.48,52.53,97.7271988,55.93,1
Panama,1993,4.05,-7.69,57.61,73.44302642,53.39,0
Panama,1994,4.64,0.02,55.87,80.42808228,56.16,1
Panama,1995,6.8,-2.15,34.88,91.06055846,50.62,1
Panama,1996,7.24,5.62,32.29,86.20988592,38.1,1
Panama,1997,6.68,4.9,45.6,87.88621932,50.41,1
Panama,1998,5.39,-0.68,31.12,80.28346912,59,0
Panama,1999,6.3,-4.42,40.68,84.26145635,57.24,1
Panama,2000,6.87,-0.66,33.91,86.33777985,47.83,1
Panama,2001,2.12,-9.17,51.13,66.73741465,49.52,0
Panama,2002,6.36,-7.19,40.14,85.57347254,57.24,1
Panama,2003,0.97,-4.37,58.05,62.18965443,54.07,0
Panama,2004,1.7,-2.16,40.86,67.32125467,56.28,0
Panama,2005,7.4,-2.12,33.2,89.54847062,50.74,1
Panama,2006,5.2,-4.83,45.33,80.34457131,40.09,1
Panama,2007,7,4.59,37.24,86.22900507,34.68,1
Panama,2008,3.11,3.61,47,71.28376927,43.56,0
Panama,2009,7.02,8.88,57.94,89.63515557,58.09,1
Panama,2010,5.71,-2.58,43.63,83.87044019,59.36,1
Panama,2011,3.07,8.89,54.73,70.32172,32.5,0
Panama,2012,1.36,-8.74,57.92,65.61491336,36.92,0
Panama,2013,8.96,3.91,39.08,97.41049742,45.4,1
Panama,2014,1.86,-8.52,53.72,64.08345624,45.69,0
Panama,2015,2.79,-1.84,51.71,72.24018077,55.82,0
Panama,2016,2.88,-2.15,53.2,70.18929611,37.83,0
Panama,2017,6.34,7.01,56.64,86.5373859,44.96,1
Panama,2018,1.14,1.22,43.53,63.00708249,56.33,0
Panama,2019,6.76,6.88,37.95,83.47147953,44.88,1
Panama,2020,2.57,3.77,33.71,67.01572756,35.2,0
Uruguay,1990,1.66,5.99,49.11,66.71602947,57.19,0
Uruguay,1991,5.63,3.48,46.91,83.06708793,52.56,1
Uruguay,1992,0.19,5.95,47.58,60,36.35,0
Uruguay,1993,5.17,-3.74,37.61,81.97929124,34.46,1
Uruguay,1994,4.65,9.69,39.6,75.29280742,47.77,0
Uruguay,1995,4.61,1.76,31.54,78.3232065,53.48,0
Uruguay,1996,2.72,7.47,45.08,68.45058545,45.17,0
Uruguay,1997,9.6,5.29,41.14,97.17175406,53.79,1
Uruguay,1998,8.08,-0.42,53.33,92.47192874,36.86,1
Uruguay,1999,3.96,-4.69,54.17,74.1267159,51.69,0
Uruguay,2000,9.07,7.4,52.42,95.57993605,51.12,1
Uruguay,2001,0.81,9,54.17,65.22221451,33.61,0
Uruguay,2002,5.59,-3.78,50.13,81.23337775,57.97,1
Uruguay,2003,3.84,1.02,36.26,77.03748252,40.66,0
Uruguay,2004,8.85,-3.88,36.91,93.20698549,40.72,1
Uruguay,2005,1.17,-2.41,50.7,65.71357024,45.86,0
Uruguay,2006,8.37,-8.39,47.91,96.42375911,59.69,1
Uruguay,2007,8,2.23,30.47,87.11287951,32.95,1
Uruguay,2008,4.48,-7.58,31.09,76.34001089,39.58,0
Uruguay,2009,8.44,-5.8,42.77,94.97560865,45.36,1
Uruguay,2010,3.39,-7.61,46.81,73.15459127,34.44,0
Uruguay,2011,9.17,7.64,56.34,97.4925425,42.98,1
Uruguay,2012,3.95,6.14,48.17,74.59945189,44.21,0
Uruguay,2013,9.76,-3.55,30.35,99.29053163,43.35,1
Uruguay,2014,1.17,4.91,51.05,64.34260741,36.64,0
Uruguay,2015,5.87,8.2,45.23,85.84609572,32.61,1
Uruguay,2016,0.2,-1.63,46.89,61.27112855,57.61,0
Uruguay,2017,1.25,-6.26,45.14,65.6501301,54.8,0
Uruguay,2018,5.54,8.99,36.39,81.36280575,58.3,1
Uruguay,2019,3.8,-8.15,40.79,74.2304044,37.45,0
Uruguay,2020,8.07,1.13,36.45,91.47189466,31.75,1
