pais,año,desempleo,gini,crecimiento,liberalizacion_economica,gobierno_izquierda
uruguay,2002,12.3,32.07,-4.93,93.71,1
uruguay,2003,8.65,49.76,4.19,84.59,1
uruguay,2004,9.67,51.69,-1.64,68.74,0
uruguay,2005,14.58,31.98,-0.81,11.1,1
uruguay,2006,14.78,30.18,-3.79,86.89,1
uruguay,2007,9.15,32.31,1.01,79.45,1
uruguay,2008,9.59,51.3,3,21.11,1
uruguay,2009,10.44,38.43,4.64,92.92,1
uruguay,2010,11.84,46.47,-2.37,3.37,0
uruguay,2011,9.35,40.73,2.77,12.29,0
uruguay,2012,9.19,43.62,4.86,55.47,1
uruguay,2013,11.13,50.48,-2.1,71.4,1
uruguay,2014,12.11,46.9,-3.56,91.68,1
uruguay,2015,11.76,38.14,0.96,28.43,1
uruguay,2016,11.32,38.15,-0.17,10.27,0
uruguay,2017,14.45,45.33,-4.44,27.62,1
uruguay,2018,13.4,44.01,-0.92,94.04,1
uruguay,2019,13.87,39.49,-3.78,36.02,0
uruguay,2020,6.75,47.15,5.89,94.3,0
